sciname,common,status,category
Puffinus lherminieri,Audubon's shearwater,believed extirpated,LC
Puffinus pacificus,Wedge-tailed shearwater,extirpated,LC
Pterodroma alba,Phoenix petrel,believed extirpated,E
Puffinus nativitatis,Christmas island shearwater,believed extirpated,LC
Bulweria bulwerii,Bulwer's petrel,believed extirpated,LC
Nesofregetta fuliginosa,Polynesian storm-petrel,believed extirpated,E
Anous minutus,Black noddy,believed extirpated,LC
Procelsterna cerulea,Blue noddy,believed extirpated,LC
Anous stolidus,Brown noddy,breeding,LC
Onychoprion fuscata,Sooty tern,breeding,LC
Onychoprion lunata,Gray-backed tern,believed extirpated,LC
Gygis alba,White tern,breeding,LC
Fregata minor,Great Frigatebird,breeding,LC
Fregata ariel,Lesser Frigatebird,resident,LC
Phaethon lepturus,White-tailed tropicbird ,breeding,LC
Phaethon rubricauda,Red-tailed tropicbird,breeding,LC
Sula sula,Red-footed booby,breeding,LC
Sula leucogaster,Brow booby,breeding,LC
Sula dactylatra,Masked booby,breeding,LC
,,,