sciname,year,presence
Acanthophora spicifera,2010,1
Acanthophora spicifera,2011,1
Acanthophora spicifera,2012,1
Acanthophora spicifera,2013,1
Acanthophora spicifera,2014,1
Acanthophora spicifera,2015,1
Acanthophora spicifera,2016,1
Acanthophora spicifera,2017,1
Acanthophora spicifera,2018,1
Acanthophora spicifera,2019,1
Acanthophora spicifera,2020,1
Acridotheres tristis,2010,1
Acridotheres tristis,2011,1
Acridotheres tristis,2012,1
Acridotheres tristis,2013,1
Acridotheres tristis,2014,1
Acridotheres tristis,2015,1
Acridotheres tristis,2016,1
Acridotheres tristis,2017,1
Acridotheres tristis,2018,1
Acridotheres tristis,2019,1
Acridotheres tristis,2020,1
Aedes albopictus,2010,1
Aedes albopictus,2011,1
Aedes albopictus,2012,1
Aedes albopictus,2013,1
Aedes albopictus,2014,1
Aedes albopictus,2015,1
Aedes albopictus,2016,1
Aedes albopictus,2017,1
Aedes albopictus,2018,0
Aedes albopictus,2019,0
Aedes albopictus,2020,0
Bufo marinus,2010,0
Bufo marinus,2011,0
Bufo marinus,2012,0
Bufo marinus,2013,0
Bufo marinus,2014,0
Bufo marinus,2015,0
Bufo marinus,2016,0
Bufo marinus,2017,0
Bufo marinus,2018,0
Bufo marinus,2019,0
Bufo marinus,2020,0
Cenchrus echinatus,2010,0
Cenchrus echinatus,2011,0
Cenchrus echinatus,2012,0
Cenchrus echinatus,2013,0
Cenchrus echinatus,2014,0
Cenchrus echinatus,2015,0
Cenchrus echinatus,2016,0
Cenchrus echinatus,2017,0
Cenchrus echinatus,2018,0
Cenchrus echinatus,2019,0
Cenchrus echinatus,2020,0
Cocos nucifera,2010,1
Cocos nucifera,2011,1
Cocos nucifera,2012,1
Cocos nucifera,2013,1
Cocos nucifera,2014,1
Cocos nucifera,2015,1
Cocos nucifera,2016,1
Cocos nucifera,2017,1
Cocos nucifera,2018,1
Cocos nucifera,2019,1
Cocos nucifera,2020,1
Culex quinquefasciatus,2010,1
Culex quinquefasciatus,2011,1
Culex quinquefasciatus,2012,1
Culex quinquefasciatus,2013,1
Culex quinquefasciatus,2014,1
Culex quinquefasciatus,2015,1
Culex quinquefasciatus,2016,1
Culex quinquefasciatus,2017,1
Culex quinquefasciatus,2018,1
Culex quinquefasciatus,2019,1
Culex quinquefasciatus,2020,1
Cyperus rotundus,2010,1
Cyperus rotundus,2011,1
Cyperus rotundus,2012,1
Cyperus rotundus,2013,1
Cyperus rotundus,2014,1
Cyperus rotundus,2015,1
Cyperus rotundus,2016,1
Cyperus rotundus,2017,1
Cyperus rotundus,2018,1
Cyperus rotundus,2019,1
Cyperus rotundus,2020,1
Epipremnum pinnatum,2010,1
Epipremnum pinnatum,2011,1
Epipremnum pinnatum,2012,1
Epipremnum pinnatum,2013,1
Epipremnum pinnatum,2014,1
Epipremnum pinnatum,2015,1
Epipremnum pinnatum,2016,1
Epipremnum pinnatum,2017,1
Epipremnum pinnatum,2018,1
Epipremnum pinnatum,2019,1
Epipremnum pinnatum,2020,1
Gelliodes fibrosa,2010,1
Gelliodes fibrosa,2011,1
Gelliodes fibrosa,2012,1
Gelliodes fibrosa,2013,1
Gelliodes fibrosa,2014,1
Gelliodes fibrosa,2015,1
Gelliodes fibrosa,2016,1
Gelliodes fibrosa,2017,1
Gelliodes fibrosa,2018,1
Gelliodes fibrosa,2019,1
Gelliodes fibrosa,2020,1
Haliclona caerulea,2010,1
Haliclona caerulea,2011,1
Haliclona caerulea,2012,1
Haliclona caerulea,2013,1
Haliclona caerulea,2014,1
Haliclona caerulea,2015,1
Haliclona caerulea,2016,1
Haliclona caerulea,2017,1
Haliclona caerulea,2018,1
Haliclona caerulea,2019,1
Haliclona caerulea,2020,1
Hemidactylus frenatus,2010,1
Hemidactylus frenatus,2011,1
Hemidactylus frenatus,2012,1
Hemidactylus frenatus,2013,1
Hemidactylus frenatus,2014,1
Hemidactylus frenatus,2015,1
Hemidactylus frenatus,2016,1
Hemidactylus frenatus,2017,1
Hemidactylus frenatus,2018,1
Hemidactylus frenatus,2019,1
Hemidactylus frenatus,2020,1
Lepidodactylus lugubris,2010,1
Lepidodactylus lugubris,2011,1
Lepidodactylus lugubris,2012,1
Lepidodactylus lugubris,2013,1
Lepidodactylus lugubris,2014,1
Lepidodactylus lugubris,2015,1
Lepidodactylus lugubris,2016,1
Lepidodactylus lugubris,2017,1
Lepidodactylus lugubris,2018,1
Lepidodactylus lugubris,2019,1
Lepidodactylus lugubris,2020,1
Paspalum scrobiculatum,2010,0
Paspalum scrobiculatum,2011,0
Paspalum scrobiculatum,2012,0
Paspalum scrobiculatum,2013,0
Paspalum scrobiculatum,2014,0
Paspalum scrobiculatum,2015,0
Paspalum scrobiculatum,2016,0
Paspalum scrobiculatum,2017,0
Paspalum scrobiculatum,2018,0
Paspalum scrobiculatum,2019,0
Paspalum scrobiculatum,2020,0
Pennaria disticha,2010,1
Pennaria disticha,2011,1
Pennaria disticha,2012,1
Pennaria disticha,2013,1
Pennaria disticha,2014,1
Pennaria disticha,2015,1
Pennaria disticha,2016,1
Pennaria disticha,2017,1
Pennaria disticha,2018,1
Pennaria disticha,2019,1
Pennaria disticha,2020,1
Pheidole megacephala,2010,1
Pheidole megacephala,2011,1
Pheidole megacephala,2012,1
Pheidole megacephala,2013,1
Pheidole megacephala,2014,1
Pheidole megacephala,2015,1
Pheidole megacephala,2016,1
Pheidole megacephala,2017,1
Pheidole megacephala,2018,1
Pheidole megacephala,2019,1
Pheidole megacephala,2020,1
Rattus rattus,2010,1
Rattus rattus,2011,0
Rattus rattus,2012,0
Rattus rattus,2013,0
Rattus rattus,2014,0
Rattus rattus,2015,0
Rattus rattus,2016,0
Rattus rattus,2017,0
Rattus rattus,2018,0
Rattus rattus,2019,0
Rattus rattus,2020,0
Zoobotryon verticillatum,2010,1
Zoobotryon verticillatum,2011,1
Zoobotryon verticillatum,2012,1
Zoobotryon verticillatum,2013,1
Zoobotryon verticillatum,2014,1
Zoobotryon verticillatum,2015,1
Zoobotryon verticillatum,2016,1
Zoobotryon verticillatum,2017,1
Zoobotryon verticillatum,2018,1
Zoobotryon verticillatum,2019,1
Zoobotryon verticillatum,2020,1