title,year_published
"McCauley, D.J., K.A. McLean, J. Bauer, H.S. Young, and F. Micheli 2012. Evaluating the performance of methods for estimating the abundance of rapidly declining coastal shark populations. Ecological Applications  22(2):385-392 {PARC-0076}",2012
"Price, N.N., S.L. Hamilton, J.S. Tootell and J.E. Smith 2011. Species-specific consequences of ocean acidification for the calcareous tropical green algae Halimeda. Marine Ecology Progress Series  440:67-78. {PARC-0077}",2011
"Gardner, J.P.A., C. Boesche, J.M. Meyer, A.R. Wood 2012. Analyses of DNA obtained from shells and brine-preserved meat: giant clams (Tridacna maxima) from the central Pacific Ocean.  Marine Ecology Progress Series 453:297-301{PARC-0078}",2012
"Hoffman, G.E., J.E. Smith, K.S. Johnson, U. Send, L.A. Levin, F.Micheli, A. Paytan, N. N. Price, B. Peterson, Y. Takeshita, P.G. Matson, E.D. Crook, K.J. Kroeker, M.C. Gambi, E.B. Rivest, C.A. Feieder, P.C. Yu and T.R. Martz. 2011. High-frequency dynamics of ocean pH: a multi-ecosystem comparison. PLoS One 6(12): e28983. doi:10.1371/journal.pone.0028983 {PARC-0079}",2011
"Williams, G.J., G.S. Aeby, R.O.M. Cowie and S.K. Davy. (2010). Predictive modeling of coral disease distribution within a reef system. PLoS ONE 5(2): e9264. doi:10.1371/journal.pone.0009264 {PARC-0080}",2010
"McCauley, D.J., H.S. Young, R.B. Dunbar, J.A. Estes, B.X. Semmens, and F. Micheli. (2012). Assessing the effects of large mobile predators on ecosystem connectivity. Ecological Applications 22(6):1711-1717{PARC-0081}",2012
"McCauley, D.J., E. Hoffman, H.S. Young and F. Micheli (2012). Night shift: expansion of temporal niche use following reductions in predator density. PLoS ONE 7(6): e38871. doi:10.1371/journal.pone.0038871  {PARC-0082}",2012
"Papastamatiou, Y.P., P.A. DeSalles, and D.J. McCauley. (2012). Area restricted searching in manta rays, and their response to spatial scale in lagoon habitats. Marine Ecology Progress Series 456:233-244{PARC-0083}",2012
"Price, N.N., T. Martz, R.E. Brainard and J.E. Smith. (2012). Diel variability in seawater pH relates to calcification and benthic community structure on coral reefs. PLoS One 7(8):e43843 {PARC-0084}",2012
"Suchanek, T. 2012.  The Palmyra Atoll Research Consortium. U.S. Geological Survey Fact Sheet  2012-3002, 4 p. {PARC-0085}",2012
"Briggs, A.A., H.S. Young, D.J. McCauley, S.A. Hathaway, R.Dirzo and R.N. Fisher 2012. Effects of spatial subsidies and habitat structure on the foraging ecology and size of geckos. PLoS ONE 7(8): e41364. doi:10.1371/journal.pone.0041364 {PARC-0086}",2012
"Knapp, I. S.S., G.J. Williams, J.L. Carballo, J.A. Cruz-Barraza, J.P.A Gardner and J.J. Bell (2013). Environmental drivers of sponge diversity, cover and assemblage composition in the lagoons at Palmyra Atoll, Central Pacific. [NEW TITLE: Restriction of sponges to an atoll lagoon as a result of reduced environmental quality] Marine Pollution Bulletin 66(1-2): 209-220. {PARC-0087}",2013
"Sterling, E.J, K. McFadden, K. Holmes, E. Vintinner, F. Arengo, and E. Naro-Maciel. (2013). Ecology and Conservation of Marine Turtles in a Foraging Ground in the Central Pacific. Chelonian Conservation Biology  12(1):2-6. {PARC-0088}",2013
"Kelly, Brooke. 2012. Using stable isotope analyses to assess the foraging habits of Palmyra Atoll green turtles (Chelonia mydas). Masters Thesis, Department of Ecology, Evolution and Environmental Biology, Columbia University, 99 pgs.{PARC-0089}",2012
"Detjen, M. 2012. Stable isotopes in turtle epibionts as a tool to understand green turtle (Chelonia mydas) regional movement patterns. Masters Dissertation, Department of Ecology, Evolution and Environmental Biology, Columbia University. 58 pp. {PARC-0090}",2012
"Young, H.S., D.J. McCauley, R.B. Dunbar, M.S. Hutson, A. Miller-ter Kuile and R. Dirzo (2012). The roles of productivity and ecosystem size in determining food-chain length in tropical terrestrial ecosystems. Ecology 94(3):692-701 {PARC-0091}",2012
"Young, H.S., D.J. McCauley, R. Guevara and R. Dirzo (2013). Consumer preference for seeds and seedlings of rare species impacts tree diversity at multiple scales. Oecologia 172:857-867 {PARC-0092}",2013
"Vidal-Martinez, V.M., M.L. Aguirre-Macedo, J.P. McLaughlin, R.F. Hechinger, A.G. Jaramillo, J.C. Shaw, A.K. James, A.M. Kuris and K.D. Lafferty 2012. Digenean metacercariae of fishes from the lagoon flats of Palmyra Atoll, Eastern Indo-Pacific. Journal of Helminthology 86:493-0509 {PARC-0093}",2012
"Carballo, J.L., J.A. Aguilar-Camacho, I.S.S. Knapp and J.J. Bell 2013. Wide distributional range of marine sponges along the Pacific Ocean. Marine Biology Research 9(8): 768-775 {PARC-0094}",2013
"Williams G.J., J.E. Smith, E.J. Conklin, J.M. Gove, E. Sala and S.A. Sandin. 2013. Benthic communities at two remote Pacific coral reefs: effects of reef habitat, depth, and wave energy gradients on spatial patterns. PeerJ 1:e81 {PARC-0095}",2013
"McCauley, D.J., E. Power, D.W. Bird, A. McInturff, R.B. Dunbar, W.H. Durham, F. Micheli, and H.S. Young. (2013). Conservation at the edges of the world. Biological Conservation 165:139-145{PARC-0096}",2013
"Williams, G.J. 2013. Contrasting recovery following removal of growth anomalies in the corals Acropora and Montipora. Diseases of Aquatic Organisms 106:181-185{PARC-0097}",2013
"Williams, G.J. N. Price, B. Ushijima, G.A. Aeby, S. Callahan, S.K. Davy, J.M. Gove, M.D. Johnson, I.S. Knapp, A. Shore-Maggio, J.E. Smith, P. Videau, T. M. Work. 2014. Ocean warming and acidification have complex interactive effects on the dynamics of a marine fungal disease. Proceedings of the Royal Society Biological Sciences 281- 20133069 {PARC-0098}",2014
"Naro-Maciel, E., S. Gaughran, N.F. Putman, G. Amato, F. Arengo, P. H. Dutton, K.W. McFadden, E. C. Vintinner, E. J. Sterling. 2014.   Predicting connectivity of green turtles at Palmyra Atoll, Central Pacific: A focus on mtDNA and dispersal modeling. Journal of the Royal Society Interface 11:20130999 {PARC-0099}",2014
"Gardner JPA, Garton DW, Collen JD, Zwartz D. 2014. Distant storms as drivers of environmental change at Pacific atolls. PLoS ONE 9:e87971 {PARC-0100}",2014
"Hamilton, S.L., J.E. Smith, N.N. Price, and S.A. Sandin. 2014. Quantifying patterns of fish herbivory on Palmyra Atoll (USA), an uninhabited predator-dominated central Pacific coral reef. Marine Ecology Progress Series 501:141-155 {PARC- 0101}",2014
"Young, H.S., D.J. McCauley, A. Pollock, and Dirzo, R. Differential plant damage due to litterfall in palm-dominated forest stands in a Central Pacific atoll. Journal of Tropical Ecology 30:231-236 DOI: http://dx.doi.org/10.1017/S026646741400008X  {PARC -0102}",2014
"Gardner J.P.A, Bartz R.J., Brainard R.E., Collen J.D., Dunbar R.B., Garton D.W., Powell S. 2014. Conservation management options and actions: Putative decline of coral cover at Palmyra Atoll, Northern Line Islands, as a case study. Marine Pollution Bulletin 84:182-190. {PARC-0103}",2014
"McCauley D.J., P.A. DeSalles, H.S. Young, Y.P. Papastamatiou, J.E. Caselle, M.H. Deakos, J.P.A. Gardner, D.W. Garton, J.D. Collen, F. Micheli. 2014. Reliance of mobile species on sensitive habitats: A case study of manta rays (Manta alfredi) and lagoons. Marine Biology 161:1987-1998. Doi 10.1007/s00227-014-2478-7 {PARC- 0104}",2014
"McCauley, D. J., Young, H. S., Guevara, R., Williams, G. J., Power, E. A., Dunbar, R. B., Bird, D. W., Durham, W. H. and F. Micheli (2014), Positive and Negative Effects of a Threatened Parrotfish on Reef Ecosystems. Conservation Biology. doi: 10.1111/cobi.12314 {PARC-0105}",2014
"Yabut, M.G, E.A. Lazo-Wasem, E.J. Sterling and A. Gomez New Records of Hyachelia tortugae Barnard, 1967 and H. lowryi Serejo and Sittrop, 2009 (Amphipoda: Gammaridea: Hyalidae) from Palmyra Atoll National Wildlife Refuge: Co-occurrence on Pacific Green Turtles (Chelonia mydas). American Museum Novitates. {PARC- 0106}.",2014
"Wood, C.L., S. A. Sandin, B. Zgliczynski, A.S. Guerra, and F. Micheli (2014). Fishing drives declines in fish parasite diversity and has variable effects on parasite abundance. Ecology 95: 1929–1946. doi:10.1890/13-1270.1{PARC-0107}",2014
"McFadden, K.W., A. Gómez, E.J. Sterling, and E. Naro-Maciel. 2014. Potential impacts of historical disturbance on green turtle health in the unique and protected marine ecosystem of Palmyra Atoll (Central Pacific). Marine Pollution Bulletin. 89:160-167. http://dx.doi.org/10.1016/j.marpolbul.2014.10.012. {PARC-0108}",2014
"Koweek, D., R.B. Dunbar, J.S. Rogers, G.J. Williams, N. Price, D. Mucciarone and L. Teneva. 2014. Environmental and ecological controls of coral community metabolism on Palmyra Atoll. Coral Reefs. DOI 10.1007/s00338-014-1217-3 {PARC-0109}",2014
"Papastamatiou, Y.P, C.L. Wood, D. Bradley, D.J. McCauley, A.L. Pollock and J.E. Caselle.  2014. First records of the sicklefin lemon shark, Negaprion acutidens, at Palmyra Atoll, central Pacific: a recent colonization event. Marine Biodiversity Records. 7. doi:10.1017/S175526721400116X; e114 {PARC-0110}",2014
"Weng, K.C.  M.W. Pedersen, G.A. Del Raye, J.E. Caselle, and A.E. Gray. 2015. Umbrella species in marine systems: using the endangered humphead wrasse to conserve coral reefs. Endangered Species Research 27:251-263 {PARC-0112)",2015
"Rogers, J.S., S. G. Monismith, R.B. Dunbar, D.A. Koweek. 2015. Field Observations of Wave-Driven Circulation over Spur and Groove Formations on a Coral Reef. JGR Oceans 120:145-160. {PARC-0113}",2015
"Gove, J.M, G.J. Williams, M.A. McManus, J.S. Clark, J.S. Ehses, and L.M. Wedding. 2015. Coral reef benthic regimes exhibit non-linear threshold responses to natural physical drivers. Mar Ecol Prog Ser 522:33-48. https://doi.org/10.3354/meps11118. {PARC-0114}",2015
"Papastamatiou, .YP., Y.Y. Watanabe, D. Bradley, L.E. Dee, K. Weng, C.G. Lowe, and J.E. Caselle. 2015. Drivers of Daily Routines in an Ectothermic Marine Predator: Hunt Warm, Rest Warmer? PLoS ONE 10(6): e0127807. doi:10.1371/journal.pone.0127807 {PARC-0115}",2015
"Monismith, S. G., J. S. Rogers, D. Koweek, and R. B. Dunbar. 2015. Frictional wave dissipation on a remarkably rough reef, Geophys. Res. Lett., 42, doi:10.1002/2015GL063804.{PARC-0116}",2015
"Knapp,  I.S., G.J. Williams, and J.J. Bell. 2016. Temporal dynamics and persistence of sponge assemblages in a Central Pacific atoll lagoon. Marine Ecology. 10.1111/maec.12303 {PARC-0117}",2016
"Knapp IS, Z.H. Forsman, G.J. Williams, R.J. Toonen, and J.J. Bell. 2015. Cryptic species obscure introduction pathway of the blue Caribbean sponge (Haliclona (Soestella) caerulea), (order: Haplosclerida) to Palmyra Atoll, Central Pacific. PeerJ 3:e1170https://doi.org/10.7717/peerj.1170 {PARC-0118}",2015
"Detjen, M. E. Sterling, and A. Gómez. 2015. Stable isotopes in barnacles as a tool to understand green sea turtle (Chelonia mydas) regional movement patterns. Biogeosciences Discuss. 12:4655-4669, doi:10.5194/bgd-12-4655-2015. {PARC-0119}",2015
"Rogers, J.S., S.G. Monismith, D.A. Koweek and R.B. Dunbar. 2015. Wave dynamics of a pacific atoll with high frictional effects. J. Geophys. Res. Ocean. 120: 1–18. doi:10.1002/2015JC011170. {PARC-0120}",2014
"Guerra, A., F. Micheli and C. L. Wood (2015). Ecology of a vulnerable shorebird across a gradient of habitat alteration: Bristle-thighed Curlews (Numenius tahitiensis) (Aves: Charadriiformes) on Palmyra Atoll. Pacific Science. 70(2):159-174. https://doi.org/10.2984/70.2.3{PARC-0121}",2015
"McCauley, DJ, P.A. DeSalles, H.S. Young, J.P.A. Gardner, and F. Micheli. 2016.  Use of high-resolution acoustic cameras to study reef shark behavioral ecology. Journal of Experimental Marine Biology and Ecology 482:128–133 {PARC-0123}",2016
"Rogers, J.S., S.G. Monismith, D.A. Koweek, W.I. Torres, and R.B. Dunbar. 2016. Thermodynamics and hydrodynamics in an atoll reef system and their influence on coral cover. Limnology and Oceanography. 61:2191-2206. doi: 10.1002/lno.10365 {PARC-0124}",2016
"Edwards, C.B., Eynaud, Y., Williams, G.J., Pedersen, N.E., Zgliczynski, B.J., Gleason, A.C.R., Smith, J.E., and S.A. Sandin. (2017) Large-area imaging reveals biologically driven non-random spatial patterns of corals at a remote reef. Coral Reefs 36 (4):1291-1305. {PARC-0125}",2017
"Young, H.S., A Miller-ter Kuile, D.M. McCauley and R. Dirzo. 2017. Cascading community and ecosystem consequences of introduced palms in Pacific Islands. Canadian Journal of Zoology. 95(3):139-148, https://doi.org/10.1139/cjz-2016-0107 {PARC-0126}",2017
"Rogers, J.S., S.G. Monismith, O.B. Fringer, D.A. Koweek and R.B. Dunbar. 2017. A coupled wave-hydrodynamic model of an atoll with high friction: mechanisms for flow, connectivity, and ecological implications. Ocean Modelling 110:66–82. {PARC-0127}",2017
"Elmer, F., J.J. Bell and J. P. A. Gardner. 2018. Coral larvae change their settlement preference for crustose coralline algae dependent on availability of bare space. Coral Reefs. https://doi.org/10.1007/s00338-018-1665-2. {PARC-0128}",2018
"Papastamatiou, Y.P., Y.Y Watanabe, U. Demsar, V. Leos-Barajas, D. Bradley, R. Langrock, K. Weng, C. G. Lowe, A.M. Friedlander, and J.E. Caselle. 2018. Activity seascapes highlight central place foraging strategies in marine predators that never stop swimming. Movement Ecology. 6:9.  https://doi.org/10.1186/s40462-018-0127-3. {PARC-0129}",2018
"Bradley D, E. Conklin, Y.P. Papastamatiou, D.J. McCauley, K. Pollock, B.E. Kendall, S.D. Gaines, and J.E. Caselle. 2017. Growth and life history variability of the grey reef shark (Carcharhinus amblyrhynchos) across its range. PLoS ONE. 12:1-20. {PARC-0130}",2017
"Bradley D, E. Conklin, Y.P. Papastamatiou, D.J. McCauley, K. Pollock, A. Pollock, B.E. Kendall, S.D. Gaines, and J.E. Caselle. 2017. Resetting predator baselines in coral reef ecosystems. Scientific Reports 7:43131.{PARC-0131}",2017
"Bradley D., Y.P Papastamatiou, and J.E. Caselle. 2017. No persistent behavioural effects of SCUBA diving on reef sharks. Marine Ecology Progress Series. 567:173-184 {PARC 0132}",2017
"White, T.D, A.B. Carlisle, D.A. Kroodsma, B.A. Block, R. Casagrandi, G.A. De Leo, M. Gatto, F. Micheli, D.J. McCauley. 2017. Assessing the effectiveness of a large marine protected area for reef shark conservation. Biological Conservation 207: 64–7. {PARC-0133}",2017
"Davis, K, P.M. Carlson, R.R. Warner and J.E. Caselle. 2017. Predation risk influences feeding rates but competition structures space use for a common Pacific parrotfish. Oecologia. 184:139-149. {PARC-0134}",2017
"Davis K, P.M. Carlson, C.G. Lowe, R.R. Warner and J.E. Caselle. 2017. Parrotfish movement patterns vary with spatiotemporal scale. Marine Ecology Progress Series. 577:149-164. {PARC-0135}",2016
"Carlson PM, Davis K, Warner RR, Caselle JE.  2017.  Fine-scale spatial patterns of parrotfish herbivory are shaped by resource availability. Marine Ecology Progress Series. 577:165-176. {PARC-136}",2017
"Struckhoff, M.A., C.E. Orazio, D.E. Tillitt, D.K. Shaver, and D.M. Papoulias. 2018.Mapping elemental contamination on Palmyra Atoll National Wildlife Refuge. Marine Pollution Bulletin. 128:97-105, https://doi.org/10.1016/j.marpolbul.2017.12.065. {PARC-137}",2017
"Young H, K. Nigro, D.J. McCauley, L.T. Ballance, E.M. Oleson, S. Baumann-Pickering, 2017. Limited trophic partitioning among sympatric delphinids off a tropical oceanic atoll. PLoS ONE 12(8): e0181526. https://doi.org/10.1371/journal.pone.0181526 {PARC-138}",2017
"Papastamatiou, Y.P., T.W. Bodey, A.M. Friedlander, C.G. Lowe, D. Bradley, K. Weng, V. Priestley, and J.E. Caselle. 2018. Spatial separation without territoriality in shark communities. Oikos. D127:767-779. doi:10.1111/oik.04289. {PARC-139}",2018
"Lafferty, K.D., J. P. McLaughlin, D.S. Gruner, T.A. Bogar, A. Bui, J.N. Childress, M. Espinoza, E.S. Forbes, C.A. Johnston, M. Klope, A. Miller-ter Kuile, M. Lee, K.A. Plummer, D.A. Weber, R.T. Young, and H.S. Young. 2018. Local extinction of the Asian tiger mosquito (Aedes albopictus) following rat eradication on Palmyra Atoll. Biology Letters.14 20170743; DOI: 10.1098/rsbl.2017.0743. {PARC-141}",2018
"Williams, G.J., Sandin, S.A., Zgliczynski, B.J., Fox, M.D., Gove, J.M., Rogers, J.S., Furby, K.A., Hartmann, A.C., Caldwell, Z.R., Price, N.N., and J.E. Smith. (2018) Biophysical drivers of coral trophic depth zonation. Marine Biology 165:60. https://doi.org/10.1007/s00227-018-3314-2. {PARC-142}",2018
"Williams, J.J., Y.P. Papastamatiou, J.E. Caselle, D. Bradley, and D.M.P. Jacoby. 2018. Ecosystem connectivity affects nutrient transfer by mobile marine predators. Proceedings of the Royal Society B 285: 20172456. http://dx.doi.org/10.1098/rspb.2017.2456 {PARC-143}",2018
"Naro-Maciel, E., F. Arengo, P. Galante, E. Vintinner, K. Holmes, G. Balazs, and E.J. Sterling. Marine protected areas and migratory species: residency of green turtles at Palmyra Atoll, Central Pacific. 2018. Endangered Species Research 37:165-182. https://doi.org/10.3354/esr00922 {PARC-144}",2018
"Davis, K., P.M. Carlson, and J.E. Caselle. 2018. Herbivorous fish populations respond positively to a shipwreck removal and associated alteration of benthic habitat. Frontiers in Marine Science. 5:406. doi:10.3389/fmars.2018.00406 {PARC-145}",2018
PRIMNM Expansion Report - this seemed like a summary/status paper and not a research study so did not seem applicable,2014
"Lyle, M., Pockalny, R., Polissar, P., Lynch-Stieglitz, J., Bova, S., Dunlea, A.G., Ford, H., Hertzberg, J.E., Hovan S., Jacobel, A.W., Wertman, C.K., Maloney, A.E., Murray, R.W. Wilson, J.S., Wejnert, K., Xie, R.C.  Dynamic carbonate sedimentation on the Northern Line Ridge, Palmyra Basin,  Marine Geology  2016 (379)",2015
"Wood, C., Baum, J.K., Reddy, S.M.W., Trebilco, R., Sandin, S.A., Zgliczynski, B.J., Briggs, A.A., Micheli, F.  Productivity and fishing pressure drive variability in fish parasite assemblages fo the Line Islands, equatorial Pacific. Ecology, February 2015.",2015
"Barott, K., Williams, G.J., Vermeij, M.J.A., Harris, J., Smith, J.E., Rohwer, F.L., Sandin, S.A. Natural history of coral-algae competition across a gradient of human activity in the Line Islands.  Marine Ecology Press Series, July 2012, Vol. 460.",2012
"White, T.D., Carlisle, A.B., Kroodsma, D.A., Block, B.A., Casagandi, R., De Leo, G.A., Gatto, M., Micheli, F., McCauley, D.J.  Assessing the effectiveness of a large marine protected area for reef shark conservation.  Biological Conservation, 2017",2017
"Concepcion, G.T., Kenyon, J., Baums, I.B., Toonen, I.J. Genetic evidence for possible coral larval dispersal from the Northern Line Islands to the Hawaiian Archipelago.  Galaxea, Journal of Coral Reef Studies, 2016, (18)",2016
"McClean, R and Kench, P. Destruction or persistence of coral atoll islands in the face of 20th and 21st century sea level rise?  2015, Wires Climate Change Volume 6",2015
"Owen, K.N. Sedimentary process and the Holocene development of Palmyra Atoll, Equatorial Pacific Ocean",2011
"Wester, L.  Checklist of the vasculat plants of the Northern Line Islands. Atoll Research Bulletin, Vol. 287, 1985",1985
"Rock, J.F. Palmyra Island with a description of its flora. College of Hawaii Publications Bulletin No. 4, 1916",1916
"Woodroffe, C.D. and McClean, R.F. Pleistocene morphology and Holocene emergence of Christmas (Kiritimati) Island, Pacific Ocean",1998
"Wolf, C., Young, H.S., Zilliacus, K.M., Wegman, A., McKown, M., Holmes, N.D., Tershy, B.R., Dirzo, R., Kropidlowski, S., Croll, D.  Invasive rat eradication strongly impacts plant recruitment on a tropical atoll. PLoS One 13(7), 2018.",2017
"Wolf, C., Zilliacus, K., Croll, D., Holmes N. Palmyra Atoll: 2016 Conservation Measures Monitoring Executive Summary. December 2018",2016
"Dawson,E.Y.  Changes in Palmyra Atoll and its vegetation through the activities of man 1913 - 1958. Pacific Naturalist, Vol. 1 1959",1959
"Maragos,J.  Ancient atoll, reef and volcanic islands of the Hawaii-Pacific remote national wildlife refuges:  status report. U.S. Coral Reef Task Force Meeting, Palau, November 7, 2005",2005
"Wolf, C.  Post-rat eradication monitoring at Palmyra Atoll national wildlife refuge:  December 2016",2016
"Keating, B. Insular geology of the line islands.  Geology and offshore mineral resources of the central pacific basin, 1992 (edited with Bolton, B.R.)",1992
"Christophersen, Vegetation of Equatorial Islands, 1927, Bernice P. Bishop Museum, Bulletin 44",1927
"McCauley, D.J., DeSalles, P.A., Young, H.S., Dunbar, R.B., Dirzo, R., Mills, M.M., and Micheli, F. From wing to wing:  the persistence of long ecological interaction chains in less-disturbed ecosystems. 2012 Scientific Reports, 2:49.",2012
"Depkin, C.  Trip report to Palmyra Atoll 06 August 2001 to 07 October 2002, US Fish & Wildlife Administrative Report",2002
"Kunz, M. and Lone, K. US GPS tracking to determine flight patterns of red footed boobies (Sula sula) near Palmyra Atoll.  2007",2007
"Edmondson, C.H. and Rathburn, M. Crustacea from Palmyra and Fanning Islands, 1923, Bernice P. Bishop Museum, Bulletin 5.",1923
